id,category,idea,mechanism,first_experiment,novelty_assessment,screen_cost,priority,related_sources
1,A,Function-space trust regions for sign updates,"Budget sign changes by their predicted effect on outputs, using the other factor and current activations, rather than by latent-coordinate distance. Accept structured flip groups only when measured loss agrees with the local prediction.","Instrument block 3 and a late block; compare STE, clipping, PV-style updates, and function-space flip budgets at equal steps and time.",Candidate core,Medium,First,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
2,A,Delay finalization across projections,"Keep previously factorized projections trainable until the attention or MLP group is complete, so later quantization can revise earlier signs. Optionally keep one adjacent block active.","Compare immediate finalization, scales-only reopening, sign reopening, and delayed finalization from identical initial factors.",Candidate core,Medium,First,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
3,A,Influence-weighted sign margins,Penalize unstable near-zero latent entries in proportion to the damage caused by flipping their represented binary weights. Ramp the penalty late to avoid freezing bad initialization.,"Measure near-threshold mass, flip-back rates, held-out NLL, and loss caused by controlled one-bit perturbations.",Candidate component,Low–medium,First,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
4,A,Alternating factor and scale updates,"Alternate updating U, V, and scales rather than moving both coupled sign factors simultaneously. Use an output-based step budget to limit destructive co-adaptation.",Compare simultaneous versus alternating updates with identical forward/backward budgets; test whether covariance initialization benefits more.,Established adaptation,Low,Second,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
5,A,Curvature-scored binary coordinate search,"Score a restricted candidate set of sign flips using loss gradients plus low-rank curvature, then verify candidate groups with actual forwards.",Run after ordinary tuning on one block; report gain per evaluated flip group and compare a PV-Tuning adaptation.,Candidate component,Medium–high,Second,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
6,A,Stochastic binary factors with annealing,"Train Bernoulli sign probabilities, anneal uncertainty, and finalize a deterministic sample or mode. Test whether uncertainty measures identify poorly calibrated decisions.",Compare deterministic STE and annealing at the same compute; separately evaluate selection cost and final packed-model accuracy.,Established adaptation,Medium,Later,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
7,A,Symmetry-aware factor alignment and consensus,Align factor permutations and paired sign symmetries before comparing seeds or combining checkpoints; select stable binary components using held-out function error.,First compare represented-weight distance with raw latent distance. Try aligned consensus only if independent runs contain complementary errors.,Candidate component,Medium,Later,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
8,A,Training precision and optimizer-state ablations,"Separate latent precision, optimizer implementation, and backward-kernel nondeterminism. BF16 parameters alone do not prove update loss because the optimizer supports Kahan accumulation.",Hold a pre-block checkpoint fixed; compare BF16/Kahan and FP32 master-state configurations with sign hashes and per-stage gradients.,Diagnostic / baseline,Low–medium,First,https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2203.11086 ; https://arxiv.org/abs/2502.05003 ; https://arxiv.org/abs/2410.19103
9,B,Auxiliary loss through the next RMSNorm,Retain the current weighted MSE and add teacher–student error after the next block's actual RMSNorm. Test whether normalized feature error discriminates solutions better.,"Use shared pre-block-3 inputs; compare raw-only, normalized-only, and additive losses, including gradient-scale controls.",Established adaptation,Low,First,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
10,B,Adaptive look-ahead depth,Use one or two frozen downstream blocks only where a local error proxy fails to predict held-out NLL. Allocate look-ahead computation based on measured disagreement.,Compare fixed-depth look-ahead with the same total compute concentrated on diagnosed blocks; verify the gain survives later quantization.,Candidate component,Medium–high,Second,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
